geocode,variablename,year,rank,value,country,region,commonwealth
AFG,Civic Participation,2010,120,32.89,Afghanistan,South Asia,
AFG,Education,2010,143,8.08,Afghanistan,South Asia,
AFG,Employment and Opportunity,2010,152,31.11,Afghanistan,South Asia,
AFG,Equality of Opportunity,2010,134,47.24,Afghanistan,South Asia,
AFG,Health and Wellbeing,2010,134,44.11,Afghanistan,South Asia,
AFG,Peace and Security,2010,160,2.32,Afghanistan,South Asia,
AFG,Political Participation,2010,95,50.29,Afghanistan,South Asia,
AFG,Civic Participation,2011,125,29.79,Afghanistan,South Asia,
AFG,Education,2011,144,8.26,Afghanistan,South Asia,
AFG,Employment and Opportunity,2011,150,32.08,Afghanistan,South Asia,
AFG,Equality of Opportunity,2011,158,32.43,Afghanistan,South Asia,
AFG,Health and Wellbeing,2011,136,44.52,Afghanistan,South Asia,
AFG,Peace and Security,2011,161,2.44,Afghanistan,South Asia,
AFG,Political Participation,2011,96,50.29,Afghanistan,South Asia,
AFG,Civic Participation,2012,122,33.88,Afghanistan,South Asia,
AFG,Education,2012,145,8.56,Afghanistan,South Asia,
AFG,Employment and Opportunity,2012,147,33.15,Afghanistan,South Asia,
AFG,Equality of Opportunity,2012,155,32.07,Afghanistan,South Asia,
AFG,Health and Wellbeing,2012,136,44.12,Afghanistan,South Asia,
AFG,Peace and Security,2012,161,3.08,Afghanistan,South Asia,
AFG,Political Participation,2012,94,50.29,Afghanistan,South Asia,
AFG,Civic Participation,2013,140,29.86,Afghanistan,South Asia,
AFG,Education,2013,146,8.55,Afghanistan,South Asia,
AFG,Employment and Opportunity,2013,149,33.96,Afghanistan,South Asia,
AFG,Equality of Opportunity,2013,161,24.54,Afghanistan,South Asia,
AFG,Health and Wellbeing,2013,136,45.54,Afghanistan,South Asia,
AFG,Peace and Security,2013,161,4.04,Afghanistan,South Asia,
AFG,Political Participation,2013,114,44.95,Afghanistan,South Asia,
AFG,Civic Participation,2014,144,26.42,Afghanistan,South Asia,
AFG,Education,2014,146,8.39,Afghanistan,South Asia,
AFG,Employment and Opportunity,2014,149,34.8,Afghanistan,South Asia,
AFG,Equality of Opportunity,2014,156,34.22,Afghanistan,South Asia,
AFG,Health and Wellbeing,2014,141,41.87,Afghanistan,South Asia,
AFG,Peace and Security,2014,161,4.59,Afghanistan,South Asia,
AFG,Political Participation,2014,104,48.06,Afghanistan,South Asia,
AFG,Civic Participation,2015,131,33.3,Afghanistan,South Asia,
AFG,Education,2015,147,8.4,Afghanistan,South Asia,
AFG,Employment and Opportunity,2015,149,35.77,Afghanistan,South Asia,
AFG,Equality of Opportunity,2015,158,31.53,Afghanistan,South Asia,
AFG,Health and Wellbeing,2015,147,38.07,Afghanistan,South Asia,
AFG,Peace and Security,2015,160,2.38,Afghanistan,South Asia,
AFG,Political Participation,2015,92,51.17,Afghanistan,South Asia,
AFG,Civic Participation,2016,132,35.47,Afghanistan,South Asia,
AFG,Education,2016,148,8.09,Afghanistan,South Asia,
AFG,Employment and Opportunity,2016,150,36.74,Afghanistan,South Asia,
AFG,Equality of Opportunity,2016,156,36.61,Afghanistan,South Asia,
AFG,Health and Wellbeing,2016,152,36.7,Afghanistan,South Asia,
AFG,Peace and Security,2016,160,2.84,Afghanistan,South Asia,
AFG,Political Participation,2016,102,47.62,Afghanistan,South Asia,
AFG,Civic Participation,2017,159,21.86,Afghanistan,South Asia,
AFG,Education,2017,148,8.59,Afghanistan,South Asia,
AFG,Employment and Opportunity,2017,151,37.72,Afghanistan,South Asia,
AFG,Equality of Opportunity,2017,156,35.34,Afghanistan,South Asia,
AFG,Health and Wellbeing,2017,125,56.87,Afghanistan,South Asia,
AFG,Peace and Security,2017,161,7.07,Afghanistan,South Asia,
AFG,Political Participation,2017,108,44.06,Afghanistan,South Asia,
AFG,Civic Participation,2018,151,25.97,Afghanistan,South Asia,
AFG,Education,2018,148,8.59,Afghanistan,South Asia,
AFG,Employment and Opportunity,2018,151,37.73,Afghanistan,South Asia,
AFG,Equality of Opportunity,2018,149,43.09,Afghanistan,South Asia,
AFG,Health and Wellbeing,2018,125,56.87,Afghanistan,South Asia,
AFG,Peace and Security,2018,161,7.37,Afghanistan,South Asia,
AFG,Political Participation,2018,108,45.84,Afghanistan,South Asia,
AGO,Civic Participation,2010,47,50.55,Angola,Sub-Saharan Africa ,
AGO,Education,2010,134,17.47,Angola,Sub-Saharan Africa ,
AGO,Employment and Opportunity,2010,138,41.54,Angola,Sub-Saharan Africa ,
AGO,Equality of Opportunity,2010,104,62.11,Angola,Sub-Saharan Africa ,
AGO,Health and Wellbeing,2010,142,37.13,Angola,Sub-Saharan Africa ,
