group,Iso3,category,year,banded
Education,COM,Digital Natives,2010,0.058
Education,TWN,Digital Natives,2015,0.409
Education,QAT,Digital Natives,2012,0.384
Education,PAN,Digital Natives,2013,0.459
Education,CHN,Digital Natives,2010,0.344
Education,HTI,Digital Natives,2015,0.169
Education,TWN,Digital Natives,2010,0.409
Education,BHS,Digital Natives,2013,0.532
Education,COM,Digital Natives,2014,0.058
Education,FJI,Digital Natives,2011,0.243
Education,MMR,Digital Natives,2010,0.003
Education,LAO,Digital Natives,2014,0.036
Education,KGZ,Digital Natives,2010,0.302
Education,GTM,Digital Natives,2014,0.168
Education,SWZ,Digital Natives,2012,0.094
Education,BIH,Digital Natives,2011,0.557
Education,BIH,Digital Natives,2010,0.557
Education,KIR,Digital Natives,2013,0.409
Education,CUB,Digital Natives,2013,0.264
Education,FJI,Digital Natives,2014,0.243
Education,FJI,Digital Natives,2012,0.243
Education,MMR,Digital Natives,2013,0.003
Education,BIH,Digital Natives,2013,0.557
Education,COM,Digital Natives,2013,0.058
Education,HTI,Digital Natives,2013,0.169
Education,SGP,Digital Natives,2013,0.887
Education,COM,Digital Natives,2011,0.058
Education,TWN,Digital Natives,2011,0.409
Education,SWZ,Digital Natives,2013,0.094
Education,MMR,Digital Natives,2012,0.003
Education,CHN,Digital Natives,2015,0.344
Education,CUB,Digital Natives,2015,0.264
Education,FJI,Digital Natives,2010,0.243
Education,HTI,Digital Natives,2012,0.169
Education,HTI,Digital Natives,2011,0.169
Education,BDI,Digital Natives,2010,0.014
Education,DEU,Digital Natives,2012,0.945
Education,FJI,Digital Natives,2013,0.243
Education,LBY,Digital Natives,2015,0.109
Education,BIH,Digital Natives,2012,0.557
Education,OMN,Digital Natives,2013,0.257
Education,SGP,Digital Natives,2010,0.887
Education,SWZ,Digital Natives,2011,0.094
Education,POL,Digital Natives,2010,0.897
Education,GTM,Digital Natives,2011,0.168
Education,AGO,Digital Natives,2013,0.074
Education,BIH,Digital Natives,2015,0.557
Education,TON,Digital Natives,2010,0.181
Education,VCT,Digital Natives,2010,0.363
Education,MMR,Digital Natives,2011,0.003
Education,LAO,Digital Natives,2011,0.036
Education,OMN,Digital Natives,2010,0.257
Education,ARG,Digital Natives,2011,0.524
Education,FRA,Digital Natives,2014,0.91
Education,SGP,Digital Natives,2011,0.887
Education,OMN,Digital Natives,2012,0.257
Education,SRB,Digital Natives,2010,0.628
Education,SRB,Digital Natives,2011,0.628
Education,SRB,Digital Natives,2012,0.628
Education,OMN,Digital Natives,2014,0.257
Education,LAO,Digital Natives,2010,0.036
Education,FRA,Digital Natives,2012,0.91
Education,MMR,Digital Natives,2014,0.003
Education,LAO,Digital Natives,2015,0.036
Education,FRA,Digital Natives,2015,0.91
Education,NIC,Digital Natives,2011,0.093
Education,NIC,Digital Natives,2014,0.093
Education,GUY,Digital Natives,2014,0.321
Education,MDG,Digital Natives,2013,0.013
Education,BIH,Digital Natives,2014,0.557
Education,FRA,Digital Natives,2011,0.91
Education,ARG,Digital Natives,2013,0.524
Education,VEN,Digital Natives,2013,0.433
Education,ZMB,Digital Natives,2015,0.113
Education,OMN,Digital Natives,2011,0.257
Education,POL,Digital Natives,2014,0.897
Education,SYC,Digital Natives,2013,0.083
Education,ARG,Digital Natives,2010,0.524
Education,NLD,Digital Natives,2011,0.988
Education,ARG,Digital Natives,2012,0.524
Education,MDG,Digital Natives,2014,0.013
Education,LBN,Digital Natives,2015,0.399
Education,BRA,Digital Natives,2010,0.602
Education,ARG,Digital Natives,2015,0.524
Education,BEL,Digital Natives,2011,0.916
Education,FRA,Digital Natives,2010,0.91
Education,FRA,Digital Natives,2013,0.91
Education,LBN,Digital Natives,2013,0.399
Education,GIN,Digital Natives,2012,0.016
Education,DEU,Digital Natives,2010,0.945
Education,MNE,Digital Natives,2015,0.601
Education,MNE,Digital Natives,2011,0.601
Education,ERI,Digital Natives,2013,0.007
Education,LBN,Digital Natives,2011,0.399
Education,BTN,Digital Natives,2013,0.132
Education,ISR,Digital Natives,2011,0.802
Education,BTN,Digital Natives,2010,0.132
Education,MUS,Digital Natives,2011,0.421
Education,GIN,Digital Natives,2014,0.016
Education,MUS,Digital Natives,2014,0.421
Education,TKM,Digital Natives,2014,0.031
Education,ZMB,Digital Natives,2013,0.113
Education,CIV,Digital Natives,2013,0.041
Education,PRT,Digital Natives,2015,0.87
Education,MNE,Digital Natives,2010,0.601
Education,TKM,Digital Natives,2010,0.031
Education,HUN,Digital Natives,2012,0.852
Education,AFG,Digital Natives,2010,0.043
Education,ISR,Digital Natives,2014,0.802
Education,TKM,Digital Natives,2011,0.031
Education,MUS,Digital Natives,2013,0.421
Education,TKM,Digital Natives,2013,0.031
Education,TKM,Digital Natives,2012,0.031
Education,MNE,Digital Natives,2014,0.601
Education,HUN,Digital Natives,2013,0.852
Education,HUN,Digital Natives,2015,0.852
Education,ZMB,Digital Natives,2014,0.113
Education,LTU,Digital Natives,2015,0.93
Education,MNE,Digital Natives,2013,0.601
Education,SSD,Digital Natives,2013,0.083
Education,CHL,Digital Natives,2011,0.671
Education,AFG,Digital Natives,2012,0.043
Education,MNE,Digital Natives,2012,0.601
Education,TKM,Digital Natives,2015,0.031
Education,GNQ,Digital Natives,2010,0.033
Education,ZMB,Digital Natives,2011,0.113
Education,ZMB,Digital Natives,2010,0.113
Education,TLS,Digital Natives,2012,0
Education,HUN,Digital Natives,2010,0.852
Education,AFG,Digital Natives,2011,0.043
Education,TLS,Digital Natives,2011,0
Education,TZA,Digital Natives,2011,0.165
Education,TLS,Digital Natives,2015,0
Education,PAK,Digital Natives,2013,0.156
Education,AFG,Digital Natives,2013,0.043
Education,KHM,Digital Natives,2014,0.01
Education,HUN,Digital Natives,2014,0.852
Education,ZWE,Digital Natives,2010,0.247
Education,ZWE,Digital Natives,2013,0.247
Education,LTU,Digital Natives,2011,0.93
Education,HUN,Digital Natives,2011,0.852
Education,LBN,Digital Natives,2010,0.399
Education,PAK,Digital Natives,2011,0.156
Education,PAK,Digital Natives,2012,0.156
Education,PAK,Digital Natives,2015,0.156
Education,TLS,Digital Natives,2014,0
Education,AFG,Digital Natives,2014,0.043
Education,CIV,Digital Natives,2014,0.041
Education,ARM,Digital Natives,2012,0.139
Education,TLS,Digital Natives,2010,0
